movie_id,description,language,rating,writer,director,cast,genre,name,,,,,
tt0367110,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots., Hindi  ,8.3, M.G. Sathya Ashutosh Gowariker ,"[ ""Ashutosh Gowariker"" ]", Shah Rukh Khan Gayatri Joshi Kishori Balal Smith Seth Lekh Tandon Rajesh Vivek Daya Shankar Pandey Farrukh Jaffar Vishnudutt Gaur Raja Awasthi Vishwa S. Badola Bhim Vakani Rahul Vohra Rajesh Balwani Bachan Pachehra ," ""Drama"" ",Swades,,,,,
tt0292490,Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love and their wildly different approaches to relationships creates tension., Hindi  Urdu ,8.2, Kassim Jagmagia Farhan Akhtar ,"[ ""Farhan Akhtar"" ]", Aamir Khan Saif Ali Khan Akshaye Khanna Preity Zinta Sonali Kulkarni Dimple Kapadia Ayub Khan Rajat Kapoor Suhasini Mulay Ahmed Khan Suchitra Pillai Anjula Bedi Rakesh Pandey Samantha Tremayne Mandala Tayde ," ""Comedy"", ""Drama"", ""Romance"" ",Dil Chahta Hai,,,,,
tt1280558,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday., Hindi  ,8.5, Neeraj Pandey Neeraj Pandey ,"[ ""Neeraj Pandey"" ]", Anupam Kher Naseeruddin Shah Jimmy Shergill Deepal Shaw Aamir Bashir Kali Prasad Mukherjee Mukesh Bhatt Gaurav Kapoor Chetan Pandit Veerendra Saxena Snehal Dabi Rohitashv Gour Vijay Bhatia Aayam Mehta Rajendra Chawla ," ""Crime"", ""Drama"", ""Mystery"" ",A Wednesday,,,,,
tt4934950,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide., Hindi  ,8.4, Vishal Bhardwaj Aditya Nimbalkar ,"[ ""Meghna Gulzar"" ]", Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohum Shah Atul Kumar Gajraj Rao Prakash Belawadi Shishir Sharma Sakshi Bhatia Sumit Gulati Somen Mishra Alisha Parveen Kundan Roy Jaspal Sharma Neyha Sharma ," ""Biography"", ""Crime"", ""Drama"" ",Talvar,,,,,
tt0457655,A manager of an orphanage in India is sent to Copenhagen Denmark where he discovers a life-altering family secret., Danish Swedish  Hindi ,7.8, Susanne Bier Anders Thomas Jensen ,"[ ""Susanne Bier"" ]", Mads Mikkelsen Neeral Mulchandani Tanya Sharma Swini Khara Meenal Patel Vallabh Gada Hitesh Kotak Suhita Thatte Rolf Lassgrd Dispesh Mistry Shivam Vichare Frederik Gullits Ernst Kristian Gullits Ernst Sidse Babett Knudsen Mona Malm ," ""Drama"" ",After the Wedding,,,,,
tt1839596,Janardhan Jakhar chases his dreams of becoming a big Rock star during which he falls in love with Heer., Hindi ,7.6, Imtiaz Ali Muazzam Beg ,"[ ""Imtiaz Ali"" ]", Ranbir Kapoor Nargis Fakhri Shammi Kapoor Kumud Mishra Piyush Mishra Shernaz Patel Aditi Rao Hydari Sanjana Sanghi Shikha Jain Jaideep Ahlawat Moufid Aziz Aakash Dahiya Sushil Dahiya Ram Menon Rajinder Sharma Nanu ," ""Drama"", ""Music"", ""Musical"" ",Rockstar,,,,,
tt2082197,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal., Hindi ,8.2, Anurag Basu Tani Basu ,"[ ""Anurag Basu"" ]", Ranbir Kapoor Priyanka Chopra Ileana D'Cruz Saurabh Shukla Rupa Ganguly Ashish Vidyarthi Bholaraj Sapkota Jishu Sengupta Haradhan Bannerjee Akash Khurana Arun Bali Uday Tikekar Preiti Mamgain Sumona Chakravarti Sujata Sehgal ," ""Adventure"", ""Comedy"", ""Drama"" ",Barfi!,,,,,
tt1562872,Three friends decide to turn their fantasy vacation into reality after one of their number becomes engaged., Hindi Japanese Spanish  ,8.1, Farhan Akhtar Reema Kagti ,"[ ""Zoya Akhtar"" ]", Katrina Kaif Hrithik Roshan Naseeruddin Shah Farhan Akhtar Aditya Roy Kapoor Kalki Koechlin Abhay Deol Ariadna Cabrol Mandi Sidhu Deepti Naval Raaghav Chanana Anisa Butt Nandini Sen Suhel Seth Anisa ," ""Adventure"", ""Comedy"", ""Drama"" ",Zindagi Na Milegi Dobara,,,,,
tt0433416,American-born Gogol the son of Indian immigrants wants to fit in among his fellow New Yorkers despite his family's unwillingness to let go of their traditional ways.,  Hindi Bengali French ,7.6, Sooni Taraporevala Jhumpa Lahiri ,"[ ""Mira Nair"" ]", Kal Penn Tabu Irrfan Khan Jacinda Barrett Zuleikha Robinson Brooke Smith Sahira Nair Jagannath Guha Ruma Guha Thakurta Sandip Deb Sukanya Tanushree Shankar Sabyasachi Chakraborty Tamal Ray Chowdhury Dhruv Mookerji ," ""Drama"" ",The Namesake,,,,,
tt0986264,An eight-year-old boy is thought to be lazy and a trouble-maker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school., Hindi  ,8.5, Amole Gupte Amole Gupte ,"[ ""Aamir Khan"", ""Amole Gupte"" ]", Darsheel Safary Aamir Khan Tanay Chheda Sachet Engineer Tisca Chopra Vipin Sharma Lalitha Lajmi Girija Oak Ravi Khanvilkar Pratima Kulkarni Meghna Malik Sonali Sachdev Sanjay Dadich Raaj Gopal Iyer Bugs Bhargava ," ""Drama"", ""Family"", ""Music"" ",Taare Zameen Par,,,,,
